Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning
SRR10245076	2612950	2265131	86.7	282	241	230	197	116	66	0	6	45	0	0	230	0
SRR10245077	2156265	1782449	82.7	272	237	227	200	140	91	0	4	5	0	0	227	0
SRR10245078	2865242	2336107	81.5	284	241	228	201	144	100	1	4	6	0	0	228	0
SRR10245079	3428894	2990526	87.2	281	247	234	204	134	87	1	6	21	0	0	234	0
SRR10245080	2798734	2301714	82.2	282	240	231	207	137	92	0	2	9	0	0	231	0
SRR10245081	465287	381878	82.1	262	206	200	179	114	67	0	1	12	0	0	200	0
SRR10245082	4093469	3567517	87.2	287	245	234	203	122	56	1	12	33	0	0	234	0
SRR10245083	2810125	2567975	91.4	284	240	229	193	94	42	0	12	83	0	0	229	0
SRR10185777	1203515	927557	77.1	253	219	216	200	132	77	0	44	96	0	0	216	0
SRR10185778	941604	825300	87.6	261	213	209	189	90	22	0	7	38	0	0	209	0
SRR10185779	2255365	2043083	90.6	290	234	227	208	117	56	0	39	113	0	0	227	0
SRR10185780	2742286	2482054	90.5	278	235	223	201	118	54	0	47	95	0	0	223	0
SRR10185781	1172461	1021098	87.1	259	219	213	197	97	35	0	16	69	0	0	213	0
SRR10185782	1003516	890072	88.7	269	217	212	185	97	42	0	14	54	0	0	212	0
SRR10185783	2119579	1896868	89.5	275	229	223	197	118	58	0	36	88	0	0	223	0
SRR10185784	960083	846386	88.2	266	214	210	184	90	34	0	7	29	0	0	210	0
SRR10185785	3369365	3029570	89.9	284	240	233	208	115	61	0	72	140	0	0	233	0
SRR10185786	2158319	1937650	89.8	279	233	229	206	114	54	0	48	106	0	0	229	0
SRR10185787	1343816	1042980	77.6	263	228	223	204	127	77	0	50	94	0	0	223	0
SRR10185788	1027428	777165	75.6	262	133	83	10	0	0	0	0	0	0	0	83	0
SRR10185789	1322343	1164407	88.1	270	225	220	197	108	50	0	24	61	0	0	220	0
SRR10185790	935154	818476	87.5	265	222	215	197	126	77	0	56	90	0	0	215	0
SRR10185791	994136	862274	86.7	268	221	213	192	105	47	0	15	51	0	0	213	0
SRR10185792	1589209	1439028	90.5	273	227	220	201	106	57	0	43	75	0	0	220	0
SRR10185793	1161032	1005021	86.6	278	228	219	198	102	48	0	28	73	0	0	219	0
SRR10185794	1547394	1382749	89.4	272	227	220	199	104	56	0	33	68	0	0	220	0
SRR10185795	1602482	1434138	89.5	265	227	218	199	107	57	0	27	64	0	0	218	0
SRR10185796	3540091	3124630	88.3	270	219	211	184	83	32	0	10	35	0	0	211	0
SRR10185797	6447241	5824636	90.3	288	231	218	196	95	42	0	33	92	0	0	218	0
SRR10185798	2252584	1784024	79.2	260	231	223	204	126	78	0	62	109	0	0	223	0
SRR10185799	2390906	2117084	88.5	258	233	220	203	142	91	0	12	17	0	0	220	0
SRR10185800	6927615	6263875	90.4	273	238	222	197	109	63	0	8	21	0	0	222	0
SRR10185801	1961994	1756288	89.5	265	230	222	206	140	90	0	15	20	0	0	222	0
